total_login_counts,daily_login_frequency,dialogic_agent_interaction_counts,wearables_session_counts,content_page_duration,content_engagement_aggregated,assessment_time_spent,media_playback_time,total_engagement_time_with_dialogic_agent
59,1.97,32,14,28.5,142.5,45.1,98.2,64.9
71,2.37,26,21,34.2,171.0,51.6,112.4,37.4
82,2.73,39,18,14.8,74.0,55.2,83.4,80.6
44,1.47,19,25,17.6,88.0,32.1,57.6,49.3
63,2.1,23,12,20.1,100.5,36.9,50.3,92.0
76,2.53,17,19,23.4,117.0,41.1,95.5,65.3
55,1.83,38,23,29.7,148.5,43.9,75.1,76.8
68,2.27,29,17,13.2,66.0,48.3,42.8,84.1
49,1.63,36,20,19.5,97.5,30.7,64.2,70.7
42,1.4,21,15,26.3,131.5,34.6,92.9,52.4
57,1.9,27,10,30.8,154.0,38.2,117.3,60.1
66,2.2,34,11,32.7,163.5,41.7,89.9,98.5
73,2.43,22,22,15.6,78.0,46.5,67.2,89.2
47,1.57,31,24,21.2,106.0,33.1,79.8,44.2
61,2.03,25,16,26.9,134.5,37.5,57.2,72.3
78,2.6,35,13,28.4,142.0,44.3,113.4,56.7
51,1.7,24,21,18.9,94.5,31.9,98.3,81.9
64,2.13,33,18,24.6,123.0,39.0,76.6,73.7
75,2.5,20,15,13.3,66.5,43.2,60.5,65.2
43,1.43,37,23,22.7,113.5,35.3,101.1,68.4
54,1.8,30,16,27.9,139.5,38.9,88.4,39.5
69,2.3,28,19,31.5,157.5,42.7,54.9,86.6
74,2.47,18,10,16.2,81.0,47.1,39.7,91.0
46,1.53,35,12,30.4,152.0,33.7,86.7,61.8
59,1.97,31,21,34.9,174.5,45.2,63.9,77.3
68,2.27,23,19,24.2,121.0,48.6,98.9,80.4
81,2.7,26,15,14.5,72.5,53.8,57.9,42.3
44,1.47,39,24,18.2,91.0,35.4,102.6,58.6
57,1.9,19,17,20.5,102.5,38.8,101.9,63.7
72,2.4,32,18,32.0,160.0,41.5,71.3,100.1
78,2.6,21,16,15.9,79.5,47.7,81.2,71.5
40,1.33,37,11,23.9,119.5,30.9,62.3,96.8
53,1.77,34,24,29.3,146.5,34.3,84.8,50.5
67,2.23,24,13,31.2,156.0,38.4,95.2,79.2
74,2.47,36,17,32.1,160.5,42.6,68.4,95.7
49,1.63,27,22,13.9,69.5,48.9,102.3,84.2
62,2.07,25,15,19.4,97.0,35.4,48.3,63.6
87,2.9,17,20,25.7,128.5,51.2,77.3,63.1
56,1.87,36,13,26.6,133.0,36.3,109.1,57.8
65,2.17,21,24,20.0,100.0,41.4,95.9,72.5
72,2.4,32,14,34.4,172.0,45.6,73.6,93.9
76,2.53,18,17,15.1,75.5,49.8,50.1,79.4
41,1.37,37,21,21.6,108.0,30.6,99.3,88.9
59,1.97,30,15,28.1,140.5,45.9,53.7,80.7
63,2.1,33,22,33.0,165.0,41.6,118.1,64.5
73,2.43,23,16,16.9,84.5,46.2,70.7,76.0
58,1.93,34,23,26.5,132.5,39.1,45.6,60.9
68,2.27,29,15,30.2,151.0,43.5,98.5,85.6
77,2.57,20,12,14.0,70.0,48.9,92.6,95.6
45,1.5,35,17,28.8,144.0,31.5,79.0,69.8
