,columns,mood,motivation,cognitive engagement,connection,physical activity,sleep
0,gad7_score,1,0,0,0,0,0
1,anxiety_symptoms,1,0,0,0,0,0
2,depression_symptoms,1,0,0,0,0,0
3,preclass_activities_weekly_session_counts_entropy,0,1,0,0,0,0
4,weekly_session_proportions_mad,0,1,0,0,0,0
5,engagement_duration_in_dialogic_sessions,0,1,0,0,0,0
6,reflective_responses_frequency,0,1,0,0,0,0
7,regularity_in_summative_exercises_and_course_videos,0,1,0,0,0,0
8,preclass_activities_weekdays_engagement_pattern_change_frequency,0,1,0,0,0,0
9,weekly_active_day_counts_entropy,0,1,0,0,0,0
10,above_average_session_before_midterm_week_counts,0,1,0,0,0,0
11,premidterm_active_days_in_top_quartile_week_counts,0,1,0,0,0,0
12,preclass_activities_weekly_summative_exercises_entropy,0,1,0,0,0,0
13,preclass_activities_weekly_course_videos_entropy,0,1,0,0,0,0
14,preclass_activities_weekly_course_ebook_access_entropy,0,1,0,0,0,0
15,formative_mcq_solution_requests_entropy,0,1,0,0,0,0
16,preclass_activities_learning_resource_use_pattern_change,0,1,0,0,0,0
17,high_engagement_with_summative_exercises_week_counts,0,1,0,0,0,0
18,baseline_resilience,0,1,0,0,0,0
19,emotional_reaction_to_feedback,0,1,0,0,0,0
20,feedback_seeking_behaviour,0,1,0,0,0,0
21,total_login_counts,0,0,1,0,0,0
22,weekly_login_frequency,0,0,1,0,0,0
23,dialogic_agent_interaction_counts,0,0,1,0,0,0
24,wearables_session_counts,0,0,1,0,0,0
25,content_page_duration,0,0,1,0,0,0
26,content_engagement_aggregated,0,0,1,0,0,0
27,assessment_time_spent,0,0,1,0,0,0
28,media_playback_time,0,0,1,0,0,0
29,total_engagement_time_with_dialogic_agent,0,0,1,0,0,0
30,social_connectedness,0,0,0,1,0,0
31,social_interaction_frequency,0,0,0,1,0,0
32,discussion_forum_post_counts,0,0,0,1,0,0
33,discussion_forum_post_response_counts,0,0,0,1,0,0
34,social_events_attended_counts,0,0,0,1,0,0
35,social_sports_clubs_participation,0,0,0,1,0,0
36,general_relationship_satisfaction,0,0,0,1,0,0
37,lack_of_companionship_feeling_frequency,0,0,0,1,0,0
38,left_out_feeling_frequency,0,0,0,1,0,0
39,social_reciprocity_frequency,0,0,0,1,0,0
40,communication_patterns,0,0,0,1,0,0
41,weekly_maxsumsteps,0,0,0,0,1,0
42,weekly_minsumsteps,0,0,0,0,1,0
43,weekly_avgsumsteps,0,0,0,0,1,0
44,weekly_mediansumsteps,0,0,0,0,1,0
45,weekly_stdsumsteps,0,0,0,0,1,0
46,weekly_sumsteps,0,0,0,0,1,0
47,weekly_countepisodesedentarybout,0,0,0,0,1,0
48,weekly_sumdurationsedentarybout,0,0,0,0,1,0
49,weekly_maxdurationsedentarybout,0,0,0,0,1,0
50,weekly_mindurationsedentarybout,0,0,0,0,1,0
51,weekly_avgdurationsedentarybout,0,0,0,0,1,0
52,weekly_stddurationsedentarybout,0,0,0,0,1,0
53,weekly_countepisodeactivebout,0,0,0,0,1,0
54,weekly_sumdurationactivebout,0,0,0,0,1,0
55,weekly_maxdurationactivebout,0,0,0,0,1,0
56,weekly_mindurationactivebout,0,0,0,0,1,0
57,weekly_avgdurationactivebout,0,0,0,0,1,0
58,weekly_stddurationactivebout,0,0,0,0,1,0
59,sleep_countepisode,0,0,0,0,0,1
60,sleep_sumduration,0,0,0,0,0,1
61,sleep_maxduration,0,0,0,0,0,1
62,sleep_minduration,0,0,0,0,0,1
63,sleep_avgduration,0,0,0,0,0,1
64,sleep_medianduration,0,0,0,0,0,1
65,sleep_stdduration,0,0,0,0,0,1
66,firstwaketime,0,0,0,0,0,1
67,lastwaketime,0,0,0,0,0,1
68,firstbedtime,0,0,0,0,0,1
69,lastbedtime,0,0,0,0,0,1
70,avgefficiency,0,0,0,0,0,1
71,sumdurationafterwakeup,0,0,0,0,0,1
72,sumdurationasleep,0,0,0,0,0,1
73,sumdurationawake,0,0,0,0,0,1
74,sumdurationtofallasleep,0,0,0,0,0,1
75,sumdurationinbed,0,0,0,0,0,1
76,avgdurationafterwakeup,0,0,0,0,0,1
77,avgdurationasleep,0,0,0,0,0,1
78,avgdurationawake,0,0,0,0,0,1
79,avgdurationtofallasleep,0,0,0,0,0,1
80,avgdurationinbed,0,0,0,0,0,1
