"entity_type","cycle_data_score_strain","cycle_data_score_average_heart_rate","cycle_data_score_kilojoule","cycle_data_score_max_heart_rate","cycle_data_updated_at","cycle_data_user_id","cycle_data_score_state","cycle_data_timezone_offset","cycle_data_start","cycle_data_created_at","cycle_data_end","cycle_data_id","sk","pk","year","month","day"
"WhoopCycle","10.2323475","75","6442.2524","158","2023-12-03T15:16:30.264000+00:00","12937797","SCORED","-08:00","2023-12-02T08:31:29.132000+00:00","2023-12-02T14:59:32.163000+00:00","2023-12-03T06:49:40.484000+00:00","469229506","2023-12-02T14:59:32.163000Z","user#cbc30698-c736-42c4-95e9-434a4de3f234#whoop_cycle","2023","12","02"
"WhoopCycle","0.0","0","0.0","0","2024-01-22T10:04:17.323000+00:00","12800706","SCORED","-10:00","2024-01-15T10:00:00+00:00","2024-01-15T18:35:30.938000+00:00","2024-01-16T10:00:00+00:00","493880778","2024-01-15T18:35:30.938000Z","user#488e8420-a2d0-4055-8a70-4c3a542ca526#whoop_cycle","2024","01","15"
"WhoopCycle","0.0","0","0.0","0","2024-01-25T23:15:23.134000+00:00","12800706","SCORED","-10:00","2024-01-21T10:00:00+00:00","2024-01-21T23:11:08.227000+00:00",,"497588955","2024-01-21T23:11:08.227000Z","user#488e8420-a2d0-4055-8a70-4c3a542ca526#whoop_cycle","2024","01","21"
"WhoopCycle","9.628018","71","10108.201","148","2024-01-19T20:48:43.894000+00:00","12957398","SCORED","+10:30","2024-01-18T11:26:02.885000+00:00","2024-01-18T22:23:02.023000+00:00","2024-01-19T14:20:24.837000+00:00","495764744","2024-01-18T22:23:02.023000Z","user#4f8aa7f7-dec9-4d29-a395-d27ade8f2441#whoop_cycle","2024","01","18"
"WhoopCycle","7.209587","62","8148.7754","150","2024-01-18T19:52:02.652000+00:00","12960001","SCORED","+10:30","2024-01-17T11:53:39.225000+00:00","2024-01-17T21:02:13.497000+00:00","2024-01-18T12:12:54.074000+00:00","495139845","2024-01-17T21:02:13.497000Z","user#c4e2b886-7072-4fcc-8999-28848cec144d#whoop_cycle","2024","01","17"
"WhoopCycle","11.535767","82","7054.9956","156","2023-12-22T09:00:47.525000+00:00","12800706","SCORED","-10:00","2023-12-05T07:54:39.070000+00:00","2023-12-05T14:11:11.632000+00:00","2023-12-06T07:54:39.070000+00:00","470847336","2023-12-05T14:11:11.632000Z","user#488e8420-a2d0-4055-8a70-4c3a542ca526#whoop_cycle","2023","12","05"
"WhoopCycle","4.4044538","100","2026.2823","132","2023-11-29T16:19:25.450000+00:00","12800706","SCORED","-10:00","2023-11-25T08:25:13.254000+00:00","2023-11-25T15:24:17.260000+00:00","2023-11-26T08:25:13.254000+00:00","465523530","2023-11-25T15:24:17.260000Z","user#488e8420-a2d0-4055-8a70-4c3a542ca526#whoop_cycle","2023","11","25"
"WhoopCycle","0.0","0","0.0","0","2023-12-28T17:58:49.259000+00:00","12937797","SCORED","-08:00","2023-12-25T08:00:00+00:00","2023-12-25T21:30:13.591000+00:00","2023-12-26T08:00:00+00:00","481719760","2023-12-25T21:30:13.591000Z","user#cbc30698-c736-42c4-95e9-434a4de3f234#whoop_cycle","2023","12","25"
"WhoopCycle","9.029843","73","8788.012","134","2024-01-11T15:02:16.877000+00:00","12957398","SCORED","-08:00","2024-01-10T08:07:53.684000+00:00","2024-01-10T16:24:29.970000+00:00","2024-01-11T07:30:32.766000+00:00","490853527","2024-01-10T16:24:29.970000Z","user#4f8aa7f7-dec9-4d29-a395-d27ade8f2441#whoop_cycle","2024","01","10"
"WhoopCycle","7.8389683","78","7221.444","154","2023-12-14T05:50:46.735000+00:00","12937797","SCORED","-08:00","2023-12-12T05:44:49.487000+00:00","2023-12-12T14:24:10.988000+00:00","2023-12-13T08:00:00+00:00","474632000","2023-12-12T14:24:10.988000Z","user#cbc30698-c736-42c4-95e9-434a4de3f234#whoop_cycle","2023","12","12"
