"recovery_data_score_resting_heart_rate","recovery_data_score_hrv_rmssd_milli","recovery_data_score_user_calibrating","recovery_data_score_recovery_score","recovery_data_score_spo2_percentage","recovery_data_score_skin_temp_celsius","recovery_data_cycle_id","recovery_data_updated_at","recovery_data_user_id","recovery_data_score_state","recovery_data_sleep_id","recovery_data_created_at","entity_type","sk","pk","year","month","day"
"66","67.36934","false","14",,"32.0","492113499","2024-01-12T21:23:19.062000+00:00","12957398","SCORED","892359672","2024-01-12T21:23:14.306000+00:00","WhoopRecovery","2024-01-12T21:23:14.306000Z","user#4f8aa7f7-dec9-4d29-a395-d27ade8f2441#whoop_recovery","2024","01","12"
"45","67.97341","false","94","93.9","33.86207","500042708","2024-01-25T19:28:08.971000+00:00","12960001","SCORED","907582288","2024-01-25T19:28:03.779000+00:00","WhoopRecovery","2024-01-25T19:28:03.779000Z","user#c4e2b886-7072-4fcc-8999-28848cec144d#whoop_recovery","2024","01","25"
"66","49.100666","false","30","93.15","33.4","497562559","2024-01-21T21:57:15.016000+00:00","12957398","SCORED","902771913","2024-01-21T20:28:37.814000+00:00","WhoopRecovery","2024-01-21T20:28:37.814000Z","user#4f8aa7f7-dec9-4d29-a395-d27ade8f2441#whoop_recovery","2024","01","21"
"52","40.357605","false","36","95.0","33.9","501860777","2024-01-28T21:43:13.776000+00:00","12960001","SCORED","911123625","2024-01-28T18:35:01.671000+00:00","WhoopRecovery","2024-01-28T18:35:01.671000Z","user#c4e2b886-7072-4fcc-8999-28848cec144d#whoop_recovery","2024","01","28"
"53","48.993984","false","41","94.0","33.613335","494509160","2024-01-16T19:50:23.157000+00:00","12960001","SCORED","896895158","2024-01-16T19:50:17.852000+00:00","WhoopRecovery","2024-01-16T19:50:17.852000Z","user#c4e2b886-7072-4fcc-8999-28848cec144d#whoop_recovery","2024","01","16"
"45","62.839493","false","77","95.80556","33.726665","490909431","2024-01-10T21:20:08.153000+00:00","12960001","SCORED","890038816","2024-01-10T21:20:03.231000+00:00","WhoopRecovery","2024-01-10T21:20:03.231000Z","user#c4e2b886-7072-4fcc-8999-28848cec144d#whoop_recovery","2024","01","10"
"55","50.217903","false","8","96.0","33.8","490288036","2024-01-09T19:42:51.331000+00:00","12960001","SCORED","888789485","2024-01-09T19:42:46.993000+00:00","WhoopRecovery","2024-01-09T19:42:46.993000Z","user#c4e2b886-7072-4fcc-8999-28848cec144d#whoop_recovery","2024","01","09"
"61","43.541748","false","45","95.0","34.5","487955477","2024-01-05T23:59:17.142000+00:00","12960001","SCORED","884408575","2024-01-05T23:59:12.120000+00:00","WhoopRecovery","2024-01-05T23:59:12.120000Z","user#c4e2b886-7072-4fcc-8999-28848cec144d#whoop_recovery","2024","01","05"
"60","38.484097","false","84","96.475","34.1","463444259","2023-11-21T14:27:05.043000+00:00","12937797","SCORED","840179175","2023-11-21T14:27:00.227000+00:00","WhoopRecovery","2023-11-21T14:27:00.227000Z","user#cbc30698-c736-42c4-95e9-434a4de3f234#whoop_recovery","2023","11","21"
"66","34.223255","false","51","96.041664","32.7","461846820","2023-11-18T14:41:34.078000+00:00","12937797","SCORED","837305318","2023-11-18T14:41:29.147000+00:00","WhoopRecovery","2023-11-18T14:41:29.147000Z","user#cbc30698-c736-42c4-95e9-434a4de3f234#whoop_recovery","2023","11","18"
