"entity_type","sk","pk","workout_data_sport_id","workout_data_score_strain","workout_data_score_average_heart_rate","workout_data_score_kilojoule","workout_data_score_altitude_gain_meter","workout_data_score_altitude_change_meter","workout_data_score_zone_duration_zone_one_milli","workout_data_score_zone_duration_zone_three_milli","workout_data_score_zone_duration_zone_two_milli","workout_data_score_zone_duration_zone_zero_milli","workout_data_score_zone_duration_zone_five_milli","workout_data_score_zone_duration_zone_four_milli","workout_data_score_max_heart_rate","workout_data_score_percent_recorded","workout_data_score_distance_meter","workout_data_updated_at","workout_data_user_id","workout_data_score_state","workout_data_timezone_offset","workout_data_start","workout_data_created_at","workout_data_end","workout_data_id","workout_data_score","year","month","day"
"WhoopWorkout","2023-12-03T20:22:51.209000Z","user#cbc30698-c736-42c4-95e9-434a4de3f234#whoop_workout","63","5.144","106","291.3914","114.62647","3.630746","695990","142276","890166","37529","0","961","143","100","2893.1746","2023-12-03T20:35:41.186000+00:00","12937797","SCORED","-08:00","2023-12-03T19:53:12.483000+00:00","2023-12-03T20:22:51.209000+00:00","2023-12-03T20:22:40.271000+00:00","851744354",,"2023","12","03"
"WhoopWorkout","2023-12-02T04:05:50.390000Z","user#488e8420-a2d0-4055-8a70-4c3a542ca526#whoop_workout","63","8.0062","111","919.28564","0.0","0.0","682529","767119","3595306","0","0","173997","157","100","0.0","2023-12-02T04:05:54.421000+00:00","12800706","SCORED","-10:00","2023-12-02T02:16:30.298000+00:00","2023-12-02T04:05:50.390000+00:00","2023-12-02T03:43:29.210000+00:00","850084436",,"2023","12","02"
"WhoopWorkout","2023-11-07T03:42:28.128000Z","user#488e8420-a2d0-4055-8a70-4c3a542ca526#whoop_workout","63","12.7427","112","1882.0332","0.0","0.0","2013024","1244900","2385007","115358","0","1011295","157","100","0.0","2023-11-07T04:13:27.748000+00:00","12800706","SCORED","-10:00","2023-11-07T02:11:53.401000+00:00","2023-11-07T03:42:28.128000+00:00","2023-11-07T04:04:42.444000+00:00","826118930",,"2023","11","07"
"WhoopWorkout","2023-11-07T18:27:33.747000Z","user#488e8420-a2d0-4055-8a70-4c3a542ca526#whoop_workout","-1","9.696","133","812.46063","0.0","0.0","143275","477754","250901","0","29802","987266","160","100","0.0","2023-11-07T18:27:37.292000+00:00","12800706","SCORED","-10:00","2023-11-07T17:33:00.617000+00:00","2023-11-07T18:27:33.747000+00:00","2023-11-07T18:04:29.576000+00:00","826838528",,"2023","11","07"
"WhoopWorkout","2024-01-22T09:16:38.333000Z","user#4f8aa7f7-dec9-4d29-a395-d27ade8f2441#whoop_workout","17","12.731","132","2637.7588","0.0","0.0","103822","2382115","516260","0","62485","894006","172","100","0.0","2024-01-22T09:16:42.195000+00:00","12957398","SCORED","+10:30","2024-01-22T07:34:30.566000+00:00","2024-01-22T09:16:38.333000+00:00","2024-01-22T08:40:29.215000+00:00","903226994",,"2024","01","22"
"WhoopWorkout","2023-11-07T07:27:44.108000Z","user#c4e2b886-7072-4fcc-8999-28848cec144d#whoop_workout","63","4.8197","105","312.45215","0.115722","-32.472107","1084353","90364","273053","1922","0","0","138","100","1606.997","2023-11-07T07:29:28.648000+00:00","12960001","SCORED","+10:30","2023-11-07T07:03:33.665000+00:00","2023-11-07T07:27:44.108000+00:00","2023-11-07T07:27:42.883000+00:00","826247032",,"2023","11","07"
"WhoopWorkout","2023-12-05T18:51:57.640000Z","user#488e8420-a2d0-4055-8a70-4c3a542ca526#whoop_workout","96","10.3628","92","2494.6277","0.0","0.0","15116510","1064193","1379401","7619411","0","1039171","156","100","0.0","2023-12-06T18:11:27.577000+00:00","12800706","SCORED","-10:00","2023-12-05T17:57:06.664000+00:00","2023-12-05T18:51:57.640000+00:00","2023-12-06T01:22:43.770000+00:00","853659680",,"2023","12","05"
"WhoopWorkout","2023-11-12T20:03:21.134000Z","user#cbc30698-c736-42c4-95e9-434a4de3f234#whoop_workout","63","5.1521","105","299.1625","0.0","0.0","822921","40374","978593","0","0","0","130","100","0.0","2023-11-12T20:17:46.609000+00:00","12937797","SCORED","-08:00","2023-11-12T19:32:33.262000+00:00","2023-11-12T20:03:21.134000+00:00","2023-11-12T20:03:15.701000+00:00","831724272",,"2023","11","12"
"WhoopWorkout","2023-11-29T17:45:51.316000Z","user#488e8420-a2d0-4055-8a70-4c3a542ca526#whoop_workout","-1","5.5354","117","353.9788","0.0","0.0","124009","711352","592205","0","0","11536","142","100","0.0","2023-11-29T17:45:54.957000+00:00","12800706","SCORED","-10:00","2023-11-29T17:01:30.570000+00:00","2023-11-29T17:45:51.316000+00:00","2023-11-29T17:25:29.634000+00:00","847877791",,"2023","11","29"
"WhoopWorkout","2024-01-29T10:42:38.183000Z","user#4f8aa7f7-dec9-4d29-a395-d27ade8f2441#whoop_workout","17","13.4483","127","3123.2832","0.0","0.0","692137","2059093","1069972","13458","28840","1187214","167","100","0.0","2024-01-29T11:26:44.191000+00:00","12957398","SCORED","+09:30","2024-01-29T09:12:00.848000+00:00","2024-01-29T10:42:38.183000+00:00","2024-01-29T10:36:11.523000+00:00","911741893",,"2024","01","29"
