"AutoCad
Type","AutoCad
Port1_NominalDiameter","AutoCad
Class","AutoCad
Spec","AutoCad
Material","AutoCad
Length","AutoCad
Line Number","AutoCad
Tag","Item
Source File","AutoCad
PnPGuid","AutoCad
PnPID","AutoCad
Status","AutoCad
Position X","AutoCad
Position Y","AutoCad
Position Z","AutoCad
WeightUnit","AutoCad
LengthUnit","AutoCad
Service","Item
GUID","AutoCad
DP"
,,,,,,,,JH-MOD-M-02-0001_DJV MECHANICAL MODEL.dwg,,,,,,,,,,99bc8c79-553f-58b3-b736-cc3471974525,
,,,,,,,,JH-MOD-M-02-0001_DJV MECHANICAL MODEL.dwg,,,,,,,,,,,
,,,,,,,,JH-MOD-M-02-0001_DJV MECHANICAL MODEL.dwg,,,,,,,,,,71d085ed-be44-4fc0-b0c5-9ddc266360ca,
,,,,,,,,JH-MOD-M-02-0001_DJV MECHANICAL MODEL.dwg,,,,,,,,,,02ba34d7-343d-5688-9aa4-36c290c29168,
,,,,,,,,JH-MOD-M-02-0001_DJV MECHANICAL MODEL.dwg,,,,,,,,,,f4d25483-8c2f-5664-b051-550428373e9d,
,,,,,,,,JH-MOD-M-02-0001_DJV MECHANICAL MODEL.dwg,,,,,,,,,,b725531e-5d94-5cbe-a18e-109a13a6595a,
,,,,,,,,JH-MOD-M-02-0001_DJV MECHANICAL MODEL.dwg,,,,,,,,,,cbf8bd41-b046-5c7b-8e28-b9ee3779a285,
,,,,,,,,JH-MOD-M-02-0001_DJV MECHANICAL MODEL.dwg,,,,,,,,,,857961f2-5a0e-5827-8263-96f3b450cc86,
,,,,,,,,JH-MOD-M-02-0001_DJV MECHANICAL MODEL.dwg,,,,,,,,,,d9edd131-0030-549c-8482-c9ea38f2a29d,
,,,,,,,,JH-MOD-M-02-0001_DJV MECHANICAL MODEL.dwg,,,,,,,,,,9781d67e-dd93-5719-931e-cb9b7d65483d,
,,,,,,,,JH-MOD-M-02-0001_DJV MECHANICAL MODEL.dwg,,,,,,,,,,fbf5fe12-a820-59df-9c7e-c3fdb8b7b4f5,
,,,,,,,,JH-MOD-M-02-0001_DJV MECHANICAL MODEL.dwg,,,,,,,,,,9c14bf4c-dee3-50f5-a419-fab00fb7bc51,
,,,,,,,,JH-MOD-M-02-0001_DJV MECHANICAL MODEL.dwg,,,,,,,,,,39085b69-3e20-5171-99b6-496930b4139c,
,,,,,,,,JH-MOD-M-02-0001_DJV MECHANICAL MODEL.dwg,,,,,,,,,,6f4486c5-0608-5973-b470-de2e5fd7392a,
,,,,,,,,JH-MOD-M-02-0001_DJV MECHANICAL MODEL.dwg,,,,,,,,,,9371616b-d14c-5dce-9f8c-b7830e637b32,
,,,,,,,,JH-MOD-M-02-0001_DJV MECHANICAL MODEL.dwg,,,,,,,,,,94adb550-1e73-5f26-a166-93ec97503a0d,
,,,,,,,,JH-MOD-M-02-0001_DJV MECHANICAL MODEL.dwg,,,,,,,,,,29b584fb-640c-5549-90ef-5bb46b578ed3,
,,,,,,,,JH-MOD-M-02-0001_DJV MECHANICAL MODEL.dwg,,,,,,,,,,bddb3a37-848f-5f06-80d2-d597b32a8ef3,
,,,,,,,,JH-MOD-M-02-0001_DJV MECHANICAL MODEL.dwg,,,,,,,,,,86161611-0d34-51e4-90d9-c51e95b845fd,
,,,,,,,,JH-MOD-M-02-0001_DJV MECHANICAL MODEL.dwg,,,,,,,,,,9371616b-d14c-5dce-9f8c-b7830e637b32,
,,,,,,,,JH-MOD-M-02-0001_DJV MECHANICAL MODEL.dwg,,,,,,,,,,94adb550-1e73-5f26-a166-93ec97503a0d,
