"Item
Name","Item
Type","Structural Material
Name","Item
Material","Element
Name","Element
Type","Element
Family","Element
Category","Element
Id","Element
Area m²","Element
Elevation at Bottom m","Element
Elevation at Top m","Element
Level","Element
Perimeter m","Item
GUID","Item
Source File"
Non-Monolithic Landing,Landings: Non-Monolithic Landing: Non-Monolithic Landing,,,Non-Monolithic Landing,Non-Monolithic Landing,Non-Monolithic Landing,Landings,22931646,,,,,,2176602f-d981-4f8c-b896-110073a853c1,JH-MOD-S-DP32-001_T0_SERVICE WATER PS.rvt
Railing,Railings: Railing: INDUSTRIAL TOP MOUNTED,,,INDUSTRIAL TOP MOUNTED,INDUSTRIAL TOP MOUNTED,Railing,Railings,22927764,,,,,,d0254413-f427-4248-9039-6dfc96f31029,JH-MOD-S-DP32-001_T0_SERVICE WATER PS.rvt
Railing,Railings: Railing: INDUSTRIAL TOP MOUNTED,,,INDUSTRIAL TOP MOUNTED,INDUSTRIAL TOP MOUNTED,Railing,Railings,22927768,,,,,,d0254413-f427-4248-9039-6dfc96f31025,JH-MOD-S-DP32-001_T0_SERVICE WATER PS.rvt
Railing,Railings: Railing: INDUSTRIAL TOP MOUNTED,,,INDUSTRIAL TOP MOUNTED,INDUSTRIAL TOP MOUNTED,Railing,Railings,22929494,,,,,,f97fea0a-5173-4c90-a75c-88a223038425,JH-MOD-S-DP32-001_T0_SERVICE WATER PS.rvt
Railing,Railings: Railing: INDUSTRIAL TOP MOUNTED,,,INDUSTRIAL TOP MOUNTED,INDUSTRIAL TOP MOUNTED,Railing,Railings,22931659,,,,,,2176602f-d981-4f8c-b896-110073a853b4,JH-MOD-S-DP32-001_T0_SERVICE WATER PS.rvt
Railing,Railings: Railing: INDUSTRIAL TOP MOUNTED,,,INDUSTRIAL TOP MOUNTED,INDUSTRIAL TOP MOUNTED,Railing,Railings,22931680,,,,,,2176602f-d981-4f8c-b896-110073a8539f,JH-MOD-S-DP32-001_T0_SERVICE WATER PS.rvt
Railing,Railings: Railing: INDUSTRIAL TOP MOUNTED,,,INDUSTRIAL TOP MOUNTED,INDUSTRIAL TOP MOUNTED,Railing,Railings,22931710,,,,,,2176602f-d981-4f8c-b896-110073a85381,JH-MOD-S-DP32-001_T0_SERVICE WATER PS.rvt
Non-Monolithic Run,Runs: Non-Monolithic Run: Industrial GridMesh,,,Industrial GridMesh,Industrial GridMesh,Non-Monolithic Run,Runs,22925221,,,,,,b27014c3-f8ee-4463-a98a-7c590b386d78,JH-MOD-S-DP32-001_T0_SERVICE WATER PS.rvt
Non-Monolithic Run,Runs: Non-Monolithic Run: Industrial GridMesh,,,Industrial GridMesh,Industrial GridMesh,Non-Monolithic Run,Runs,22931639,,,,,,2176602f-d981-4f8c-b896-110073a853c8,JH-MOD-S-DP32-001_T0_SERVICE WATER PS.rvt
Assembled Stair,Stairs: Assembled Stair: Industrial Stair GridMesh,,,Stair,Industrial Stair GridMesh,Assembled Stair,Stairs,22909029,,,,,,e0e470b6-c7f8-4764-9a43-f654881cb7df,JH-MOD-S-DP32-001_T0_SERVICE WATER PS.rvt
Assembled Stair,Stairs: Assembled Stair: Industrial Stair GridMesh,,,Stair,Industrial Stair GridMesh,Assembled Stair,Stairs,22931638,,,,,,2176602f-d981-4f8c-b896-110073a853c9,JH-MOD-S-DP32-001_T0_SERVICE WATER PS.rvt
Foundation Slab,Structural Foundations: Foundation Slab: 250 RC Fdn Slab,,10_ST_Concrete Insitu - 040MPa,250 RC Fdn Slab,250 RC Fdn Slab,Foundation Slab,Structural Foundations,22913090,54.639,-7.15,-6.9,"Level ""TOC SLAB"", #22636762",33.402,1a7d6260-d9d6-47ab-ac51-0d465e42fc0d,JH-MOD-S-DP32-001_T0_SERVICE WATER PS.rvt
