"pcms_assessment_id","GQ1","GQ2","GQ3","GQ4","GQ5","GQ6","GQ7"
14094,1,1,1,0,0,1,0
14093,1,1,1,0,0,1,0
29551,1,1,1,0,1,0,1
37418,1,1,1,1,1,0,0
6706,1,1,1,1,0,0,0
34694,1,1,1,1,0,0,0
6707,1,1,1,1,0,0,0
37322,1,1,1,1,0,1,0
37321,1,0,1,1,0,1,0
37516,1,1,1,1,1,0,0
37517,1,1,0,0,1,1,0
37320,1,0,1,0,0,1,1
37319,1,0,1,0,0,1,1
7843,1,0,1,1,0,0,0
14018,1,1,1,0,1,0,1
37417,0,1,1,1,0,0,0
37416,1,1,1,1,1,0,0
37324,0,1,1,1,0,1,1
37323,1,0,1,0,1,0,1
7842,1,0,1,1,1,0,0
7844,0,0,1,1,1,0,0
