ID,Level,Final,Level Index,Diff
0,Critical Reflection,3,4,1
1,Simple Reflection,3,3,0
2,Simple Reflection,3,3,0
3,Simple Reflection,2,3,1
4,Simple Reflection,2,3,1
5,Simple Reflection,2,3,1
6,Critical Reflection,4,4,0
7,Critical Reflection,2,4,2
8,Simple Reflection,2,3,1
9,Simple Reflection,3,3,0
10,Understanding,1,2,1
11,Simple Reflection,3,3,0
12,Simple Reflection,3,3,0
13,Simple Reflection,2,3,1
14,Critical Reflection,3,4,1
15,Critical Reflection,2,4,2
16,Simple Reflection,2,3,1
17,Critical Reflection,2,4,2
18,Simple Reflection,2,3,1
19,Critical Reflection,3,4,1
20,Simple Reflection,2,3,1
21,Simple Reflection,2,3,1
22,Critical Reflection,4,4,0
23,Simple Reflection,2,3,1
24,Simple Reflection,4,3,-1
25,Simple Reflection,2,3,1
26,Simple Reflection,2,3,1
27,Simple Reflection,2,3,1
28,Critical Reflection,2,4,2
29,Simple Reflection,2,3,1
30,Critical Reflection,4,4,0
31,Critical Reflection,3,4,1
32,Simple Reflection,2,3,1
33,Understanding,1,2,1
34,Critical Reflection,3,4,1
35,Simple Reflection,3,3,0
36,Simple Reflection,3,3,0
37,Simple Reflection,2,3,1
38,Simple Reflection,3,3,0
39,Simple Reflection,3,3,0
40,Simple Reflection,1,3,2
41,Simple Reflection,1,3,2
42,Critical Reflection,3,4,1
43,Critical Reflection,4,4,0
44,Critical Reflection,3,4,1
45,Simple Reflection,2,3,1
46,Simple Reflection,2,3,1
47,Simple Reflection,2,3,1
48,Simple Reflection,2,3,1
49,Simple Reflection,2,3,1
50,Simple Reflection,2,3,1
51,Simple Reflection,2,3,1
52,Critical Reflection,4,4,0
53,Simple Reflection,2,3,1
54,Simple Reflection,2,3,1
55,Simple Reflection,2,3,1
56,Critical Reflection,3,4,1
57,Simple Reflection,3,3,0
58,Simple Reflection,1,3,2
59,Simple Reflection,2,3,1
60,Critical Reflection,3,4,1
61,No-Reflection,1,1,0
62,Simple Reflection,1,3,2
