ID,Level,Final
0,Critical Reflection,3
1,Simple Reflection,3
2,Simple Reflection,3
3,Simple Reflection,2
4,Simple Reflection,2
5,Simple Reflection,2
6,Critical Reflection,4
7,Critical Reflection,2
8,Simple Reflection,2
9,Simple Reflection,3
10,Understanding,1
11,Critical Reflection,3
12,Simple Reflection,3
13,Simple Reflection,2
14,Simple Reflection,3
15,Simple Reflection,2
16,Simple Reflection,2
17,Simple Reflection,2
18,Simple Reflection,2
19,Critical Reflection,3
20,Simple Reflection,2
21,Simple Reflection,2
22,Critical Reflection,4
23,Understanding,2
24,Simple Reflection,4
25,Simple Reflection,2
26,Simple Reflection,2
27,Simple Reflection,2
28,Simple Reflection,2
29,Simple Reflection,2
30,Critical Reflection,4
31,Critical Reflection,3
32,Simple Reflection,2
33,Understanding,1
34,Critical Reflection,3
35,Simple Reflection,3
36,Simple Reflection,3
37,Critical Reflection,2
38,Critical Reflection,3
39,Simple Reflection,3
40,Simple Reflection,1
41,Simple Reflection,1
42,Simple Reflection,3
43,Critical Reflection,4
44,Critical Reflection,3
45,Simple Reflection,2
46,Simple Reflection,2
47,Simple Reflection,2
48,Simple Reflection,2
49,Simple Reflection,2
50,Simple Reflection,2
51,Simple Reflection,2
52,Critical Reflection,4
53,Simple Reflection,2
54,Simple Reflection,2
55,Simple Reflection,2
56,Critical Reflection,3
57,Critical Reflection,3
58,Simple Reflection,1
59,Simple Reflection,2
60,Critical Reflection,3
61,No-Reflection,1
62,Simple Reflection,1
63,Simple Reflection,2
64,Simple Reflection,2
65,Simple Reflection,3
66,Simple Reflection,2
67,Simple Reflection,2
68,Critical Reflection,2
69,Critical Reflection,4
70,Simple Reflection,4
71,Simple Reflection,1
72,Simple Reflection,2
73,Simple Reflection,2
74,Critical Reflection,3
75,Simple Reflection,2
76,Simple Reflection,3
77,Critical Reflection,2
78,Critical Reflection,3
79,Simple Reflection,2
80,Simple Reflection,3
81,Critical Reflection,2
82,Simple Reflection,2
83,Critical Reflection,3
84,Simple Reflection,2
85,Simple Reflection,2
86,Simple Reflection,2
87,Simple Reflection,4
88,Simple Reflection,3
89,Simple Reflection,3
90,Critical Reflection,2
91,Simple Reflection,2
92,Simple Reflection,3
93,Simple Reflection,1
94,Simple Reflection,3
95,Critical Reflection,3
96,Critical Reflection,3
97,Simple Reflection,3
98,Simple Reflection,1
99,Simple Reflection,2
100,Critical Reflection,3
101,Critical Reflection,3
102,Simple Reflection,3
103,Simple Reflection,2
104,Simple Reflection,2
105,Understanding,1
106,Critical Reflection,3
107,Simple Reflection,2
108,Simple Reflection,3
109,Critical Reflection,4
110,Critical Reflection,3
111,Simple Reflection,2
112,Critical Reflection,3
113,Simple Reflection,2
114,Simple Reflection,3
115,Simple Reflection,4
116,Simple Reflection,1
117,Critical Reflection,3
118,Simple Reflection,2
119,Simple Reflection,3
120,Simple Reflection,2
121,Simple Reflection,2
122,Simple Reflection,3
123,Simple Reflection,3
124,Critical Reflection,3
125,Critical Reflection,3
126,Critical Reflection,3
127,Simple Reflection,3
128,Critical Reflection,2
129,Simple Reflection,1
130,Critical Reflection,3
131,Simple Reflection,2
132,Simple Reflection,3
133,Critical Reflection,3
134,Simple Reflection,3
135,Critical Reflection,2
136,Simple Reflection,3
137,Simple Reflection,1
138,Simple Reflection,2
139,Simple Reflection,3
140,Simple Reflection,3
141,Critical Reflection,4
142,Critical Reflection,3
143,Simple Reflection,3
144,Simple Reflection,2
145,Critical Reflection,2
146,Simple Reflection,3
147,Simple Reflection,1
148,Simple Reflection,3
149,Critical Reflection,2
150,Simple Reflection,3
151,Critical Reflection,3
152,Simple Reflection,3
153,Simple Reflection,2
154,Critical Reflection,4
155,Critical Reflection,2
156,Simple Reflection,3
157,Simple Reflection,3
158,Simple Reflection,2
159,Critical Reflection,3
160,Critical Reflection,3
161,Critical Reflection,4
162,Simple Reflection,2
163,Critical Reflection,3
164,Simple Reflection,2
165,Simple Reflection,2
166,Simple Reflection,3
167,Critical Reflection,3
168,Simple Reflection,3
169,Simple Reflection,2
170,Simple Reflection,3
171,Simple Reflection,2
172,Simple Reflection,2
173,Critical Reflection,3
174,Simple Reflection,2
175,Simple Reflection,2
176,Critical Reflection,3
177,Understanding,1
178,Simple Reflection,3
179,Critical Reflection,2
180,Simple Reflection,2
181,Simple Reflection,2
182,Simple Reflection,2
183,Simple Reflection,2
184,Simple Reflection,3
185,Critical Reflection,4
186,Simple Reflection,2
187,Critical Reflection,2
188,Simple Reflection,2
189,Simple Reflection,1
190,Critical Reflection,3
191,Simple Reflection,2
192,Critical Reflection,4
193,Critical Reflection,3
194,Simple Reflection,3
195,Simple Reflection,3
196,Simple Reflection,3
197,Simple Reflection,3
198,Critical Reflection,3
199,Critical Reflection,4
200,Simple Reflection,2
201,Critical Reflection,3
202,Critical Reflection,3
203,Simple Reflection,3
204,Critical Reflection,4
205,Critical Reflection,3
206,Simple Reflection,2
207,Simple Reflection,1
208,Critical Reflection,4
209,Simple Reflection,2
210,Simple Reflection,3
211,Simple Reflection,2
212,Simple Reflection,1
213,Simple Reflection,1
214,Critical Reflection,2
215,Critical Reflection,4
216,Critical Reflection,4
217,Critical Reflection,3
218,Critical Reflection,4
219,Critical Reflection,3
220,Simple Reflection,2
221,Simple Reflection,1
222,Understanding,1
223,Simple Reflection,3
224,Simple Reflection,3
225,Critical Reflection,4
226,Simple Reflection,2
227,Simple Reflection,3
228,Simple Reflection,2
229,Simple Reflection,2
230,Understanding,1
231,Simple Reflection,3
232,Critical Reflection,3
233,Critical Reflection,4
234,Critical Reflection,4
235,Simple Reflection,3
236,Critical Reflection,4
237,Simple Reflection,2
238,Critical Reflection,3
239,Simple Reflection,2
240,Simple Reflection,2
241,Simple Reflection,2
242,Critical Reflection,2
243,Understanding,1
244,Simple Reflection,1
245,Simple Reflection,2
246,Simple Reflection,3
247,Simple Reflection,3
248,Simple Reflection,2
249,Simple Reflection,2
250,Simple Reflection,3
251,Simple Reflection,3
252,Simple Reflection,2
253,Critical Reflection,3
254,Simple Reflection,3
255,Simple Reflection,2
256,Simple Reflection,3
257,Critical Reflection,3
258,Critical Reflection,3
259,Simple Reflection,3
260,Simple Reflection,3
261,Critical Reflection,3
262,Simple Reflection,2
263,Simple Reflection,3
264,Simple Reflection,3
265,Simple Reflection,2
266,Simple Reflection,2
267,Simple Reflection,3
268,Simple Reflection,2
269,Simple Reflection,2
270,Simple Reflection,2
271,Critical Reflection,3
272,Simple Reflection,2
273,Critical Reflection,3
274,Simple Reflection,3
275,Simple Reflection,2
276,Simple Reflection,2
277,Critical Reflection,3
278,Understanding,2
279,Simple Reflection,2
280,Critical Reflection,3
281,Simple Reflection,1
282,Simple Reflection,2
283,Simple Reflection,1
284,Simple Reflection,2
285,Simple Reflection,2
286,Simple Reflection,2
287,Critical Reflection,3
288,Simple Reflection,3
289,Critical Reflection,2
290,Simple Reflection,2
291,Simple Reflection,2
292,Simple Reflection,2
293,Simple Reflection,2
294,Simple Reflection,3
295,Simple Reflection,3
296,Simple Reflection,2
297,Critical Reflection,3
298,Simple Reflection,2
299,Simple Reflection,2
300,Critical Reflection,3
301,Simple Reflection,2
302,Critical Reflection,2
303,Simple Reflection,2
304,Simple Reflection,2
305,Critical Reflection,2
306,Simple Reflection,3
307,Critical Reflection,3
308,Simple Reflection,2
309,Critical Reflection,2
310,Simple Reflection,2
311,Simple Reflection,3
312,Simple Reflection,3
313,Simple Reflection,3
314,Simple Reflection,3
315,Simple Reflection,2
316,Critical Reflection,2
317,Simple Reflection,3
318,Critical Reflection,3
319,Critical Reflection,3
320,Simple Reflection,2
321,Critical Reflection,3
322,Critical Reflection,3
323,Simple Reflection,2
324,Simple Reflection,2
325,Simple Reflection,2
326,Critical Reflection,3
327,Critical Reflection,2
328,Simple Reflection,1
329,Simple Reflection,2
330,Critical Reflection,3
331,Critical Reflection,2
332,Simple Reflection,2
333,Simple Reflection,2
334,Critical Reflection,3
335,Simple Reflection,3
336,Simple Reflection,2
337,Simple Reflection,2
338,Simple Reflection,3
339,Critical Reflection,3
340,Simple Reflection,2
341,Critical Reflection,3
342,Simple Reflection,2
343,Critical Reflection,3
344,Critical Reflection,4
345,Simple Reflection,2
346,Simple Reflection,3
347,Simple Reflection,2
348,Simple Reflection,2
349,Simple Reflection,2
350,Simple Reflection,3
351,Simple Reflection,2
352,Simple Reflection,3
353,Critical Reflection,3
354,Simple Reflection,3
355,Critical Reflection,3
356,Simple Reflection,2
357,Simple Reflection,2
358,Simple Reflection,1
359,Simple Reflection,2
360,Critical Reflection,3
361,Simple Reflection,3
362,Simple Reflection,2
363,Simple Reflection,2
364,Critical Reflection,3
365,Simple Reflection,3
366,Simple Reflection,3
367,Critical Reflection,3
368,Simple Reflection,2
369,Simple Reflection,2
370,Critical Reflection,3
371,Simple Reflection,3
372,Critical Reflection,3
373,Simple Reflection,3
374,Simple Reflection,3
375,Simple Reflection,2
376,Simple Reflection,2
377,Simple Reflection,3
378,Critical Reflection,3
379,Critical Reflection,4
380,Simple Reflection,3
381,Simple Reflection,2
382,Simple Reflection,3
383,Simple Reflection,3
384,Simple Reflection,2
385,Critical Reflection,3
386,Critical Reflection,2
387,Simple Reflection,3
388,Simple Reflection,2
389,Simple Reflection,2
390,Simple Reflection,3
391,Simple Reflection,2
392,Critical Reflection,3
393,Simple Reflection,3
394,Critical Reflection,3
395,Simple Reflection,2
396,Simple Reflection,2
397,Simple Reflection,3
398,Critical Reflection,4
399,Critical Reflection,3
400,Simple Reflection,3
401,Critical Reflection,3
402,Simple Reflection,2
403,Simple Reflection,4
404,Simple Reflection,3
405,Simple Reflection,3
406,Critical Reflection,3
407,Simple Reflection,3
408,Simple Reflection,2
409,Critical Reflection,3
410,Simple Reflection,3
411,Simple Reflection,2
412,Simple Reflection,3
413,Critical Reflection,3
414,Simple Reflection,2
415,Simple Reflection,3
416,Simple Reflection,3
417,Critical Reflection,3
418,No-Reflection,2
419,Simple Reflection,2
420,Simple Reflection,2
421,Simple Reflection,2
422,Simple Reflection,3
423,Simple Reflection,3
424,Critical Reflection,2
425,Simple Reflection,3
426,Critical Reflection,3
427,Simple Reflection,3
428,Simple Reflection,2
429,Understanding,1
430,Simple Reflection,2
431,Critical Reflection,3
432,Simple Reflection,2
433,Critical Reflection,3
434,Critical Reflection,4
435,Simple Reflection,3
436,Critical Reflection,2
437,Simple Reflection,3
438,Simple Reflection,3
439,Critical Reflection,3
440,Simple Reflection,3
441,Simple Reflection,3
442,Critical Reflection,3
443,Simple Reflection,2
444,Critical Reflection,4
445,Simple Reflection,2
446,Critical Reflection,4
447,Simple Reflection,3
448,Simple Reflection,1
449,Critical Reflection,4
450,Simple Reflection,2
451,Critical Reflection,3
452,Simple Reflection,2
453,Critical Reflection,2
454,Simple Reflection,2
455,Simple Reflection,3
456,Simple Reflection,3
457,Simple Reflection,3
458,Simple Reflection,2
459,Simple Reflection,2
460,Simple Reflection,1
461,Simple Reflection,2
462,Simple Reflection,2
463,Simple Reflection,2
464,Critical Reflection,3
465,Simple Reflection,2
466,Critical Reflection,3
467,Critical Reflection,3
468,Simple Reflection,2
469,Critical Reflection,2
470,Simple Reflection,3
471,Simple Reflection,1
472,Simple Reflection,2
473,Simple Reflection,2
474,Simple Reflection,2
475,Simple Reflection,2
476,Simple Reflection,2
477,Critical Reflection,2
478,Simple Reflection,2
479,Simple Reflection,2
480,Simple Reflection,2
481,Simple Reflection,2
482,Simple Reflection,3
483,Critical Reflection,3
484,Simple Reflection,2
485,Simple Reflection,2
486,Simple Reflection,3
487,Simple Reflection,2
488,Simple Reflection,2
489,Critical Reflection,3
490,Simple Reflection,2
491,Simple Reflection,2
492,Simple Reflection,3
493,Understanding,1
494,Simple Reflection,2
495,Simple Reflection,2
496,Simple Reflection,4
497,Simple Reflection,2
498,Simple Reflection,1
499,Simple Reflection,2
500,Critical Reflection,3
501,Simple Reflection,3
502,Simple Reflection,2
503,Critical Reflection,2
504,Simple Reflection,4
505,Critical Reflection,3
506,Simple Reflection,2
507,Simple Reflection,1
508,Understanding,2
509,Simple Reflection,2
510,Simple Reflection,3
511,Simple Reflection,4
512,Critical Reflection,3
513,Simple Reflection,3
514,Simple Reflection,2
515,Simple Reflection,3
516,Simple Reflection,3
517,Critical Reflection,2
518,Simple Reflection,3
519,Simple Reflection,1
520,Critical Reflection,4
521,Critical Reflection,2
522,Critical Reflection,4
523,Simple Reflection,3
524,Simple Reflection,2
525,Simple Reflection,2
526,Simple Reflection,3
527,Critical Reflection,3
528,Critical Reflection,2
529,Simple Reflection,2
530,Simple Reflection,2
531,Simple Reflection,2
532,Simple Reflection,2
533,Simple Reflection,1
534,Simple Reflection,3
535,Simple Reflection,2
536,Simple Reflection,2
537,Understanding,1
538,Simple Reflection,2
539,Simple Reflection,2
540,Simple Reflection,3
541,Simple Reflection,4
542,Simple Reflection,1
543,Simple Reflection,2
544,Simple Reflection,1
545,Simple Reflection,1
546,Simple Reflection,1
547,Simple Reflection,2
548,Simple Reflection,4
549,Simple Reflection,2
550,Simple Reflection,1
551,Simple Reflection,2
552,Critical Reflection,3
553,Simple Reflection,3
554,Critical Reflection,3
555,Simple Reflection,2
556,Simple Reflection,3
557,Simple Reflection,2
558,No-Reflection,1
559,Critical Reflection,3
560,Simple Reflection,2
561,Simple Reflection,2
562,Critical Reflection,2
563,Critical Reflection,3
564,Critical Reflection,3
565,Critical Reflection,4
566,Critical Reflection,3
567,Simple Reflection,2
568,Critical Reflection,3
569,Critical Reflection,3
570,Simple Reflection,2
571,Simple Reflection,2
572,Simple Reflection,2
573,Simple Reflection,1
574,Simple Reflection,2
575,Simple Reflection,1
576,Simple Reflection,2
577,Simple Reflection,2
578,Simple Reflection,3
579,Simple Reflection,2
580,Simple Reflection,2
581,Simple Reflection,3
582,Simple Reflection,3
583,Critical Reflection,3
584,Simple Reflection,2
585,Simple Reflection,2
586,Critical Reflection,3
587,Simple Reflection,2
588,Simple Reflection,4
589,Simple Reflection,2
590,Simple Reflection,2
591,Simple Reflection,2
592,Critical Reflection,3
593,Critical Reflection,3
594,Simple Reflection,2
595,Simple Reflection,1
596,Simple Reflection,3
597,Simple Reflection,2
598,Simple Reflection,3
599,Critical Reflection,2
600,Understanding,1
601,Simple Reflection,1
602,Critical Reflection,4
603,Simple Reflection,2
604,Critical Reflection,3
605,Simple Reflection,2
606,Simple Reflection,2
607,Simple Reflection,2
608,Simple Reflection,2
609,Critical Reflection,3
610,Simple Reflection,1
611,Simple Reflection,2
612,Simple Reflection,2
613,Simple Reflection,2
614,Simple Reflection,2
615,Simple Reflection,2
616,Simple Reflection,1
617,Critical Reflection,1
618,Simple Reflection,2
619,Critical Reflection,3
620,Critical Reflection,3
621,Simple Reflection,2
622,Simple Reflection,2
623,Critical Reflection,3
624,Simple Reflection,2
625,Simple Reflection,2
626,Simple Reflection,2
627,Critical Reflection,2
628,Simple Reflection,2
629,Simple Reflection,2
630,Critical Reflection,3
631,Simple Reflection,3
632,Simple Reflection,2
633,Critical Reflection,3
634,Critical Reflection,4
635,Simple Reflection,2
636,Simple Reflection,2
637,Understanding,1
638,Simple Reflection,3
639,Simple Reflection,3
640,Simple Reflection,2
641,Critical Reflection,4
642,No-Reflection,1
643,Simple Reflection,3
644,Critical Reflection,2
645,Simple Reflection,2
646,Simple Reflection,2
647,Critical Reflection,3
648,Critical Reflection,3
649,Simple Reflection,3
650,Critical Reflection,3
651,Critical Reflection,4
652,Simple Reflection,2
653,Simple Reflection,3
654,Simple Reflection,3
655,Critical Reflection,2
656,Simple Reflection,2
657,Simple Reflection,3
658,Simple Reflection,2
659,Simple Reflection,2
660,Critical Reflection,3
661,Critical Reflection,2
662,Simple Reflection,3
663,Simple Reflection,2
664,Critical Reflection,3
665,Simple Reflection,3
666,Simple Reflection,3
667,Simple Reflection,3
668,Simple Reflection,2
669,Critical Reflection,4
670,Critical Reflection,3
671,Critical Reflection,3
672,Simple Reflection,3
673,Simple Reflection,2
674,Simple Reflection,2
675,Simple Reflection,3
676,Understanding,1
677,Understanding,1
678,Critical Reflection,3
679,Critical Reflection,3
680,Critical Reflection,4
681,Critical Reflection,3
682,Critical Reflection,3
683,Simple Reflection,1
684,Simple Reflection,2
685,Simple Reflection,3
686,Simple Reflection,2
687,Simple Reflection,2
688,Simple Reflection,1
689,Simple Reflection,3
690,Simple Reflection,2
691,Simple Reflection,2
692,Simple Reflection,2
693,Simple Reflection,2
694,Simple Reflection,3
695,Simple Reflection,2
696,Simple Reflection,1
697,Simple Reflection,2
698,Understanding,1
699,Simple Reflection,2
700,Simple Reflection,2
701,Simple Reflection,4
702,Simple Reflection,3
703,Simple Reflection,2
704,Simple Reflection,2
705,Simple Reflection,4
706,Simple Reflection,2
707,Simple Reflection,2
708,Simple Reflection,2
709,Simple Reflection,1
710,Simple Reflection,2
711,Simple Reflection,3
712,Critical Reflection,3
713,Simple Reflection,3
714,Understanding,1
715,Simple Reflection,4
716,Simple Reflection,2
717,Critical Reflection,3
718,Simple Reflection,2
719,Simple Reflection,2
720,Simple Reflection,4
721,Simple Reflection,3
722,Simple Reflection,3
723,Simple Reflection,2
724,Simple Reflection,3
725,Understanding,1
726,Simple Reflection,2
727,Simple Reflection,3
728,Simple Reflection,2
729,Simple Reflection,2
730,Simple Reflection,2
731,Simple Reflection,2
732,Simple Reflection,2
733,Simple Reflection,2
734,Simple Reflection,2
735,Simple Reflection,3
736,Simple Reflection,2
737,Simple Reflection,3
738,Critical Reflection,2
739,Critical Reflection,3
740,Simple Reflection,2
741,Simple Reflection,1
742,Simple Reflection,1
743,Critical Reflection,3
744,Simple Reflection,2
745,Simple Reflection,2
746,Simple Reflection,2
747,Critical Reflection,3
748,Simple Reflection,2
749,Simple Reflection,2
750,Simple Reflection,2
751,Simple Reflection,4
752,Simple Reflection,3
753,Simple Reflection,2
754,Simple Reflection,2
755,Simple Reflection,2
756,Simple Reflection,1
757,Simple Reflection,3
758,Simple Reflection,2
759,Critical Reflection,3
760,Simple Reflection,3
761,Simple Reflection,2
762,Simple Reflection,2
763,Simple Reflection,2
764,Critical Reflection,3
765,Simple Reflection,3
766,Simple Reflection,3
767,Simple Reflection,2
768,Simple Reflection,1
769,Simple Reflection,3
770,Critical Reflection,3
771,Critical Reflection,4
772,Simple Reflection,3
773,Simple Reflection,2
774,Simple Reflection,2
775,Simple Reflection,2
776,Simple Reflection,3
777,Critical Reflection,4
778,Critical Reflection,4
779,Simple Reflection,1
780,Critical Reflection,3
781,Simple Reflection,2
782,Simple Reflection,3
783,Simple Reflection,2
784,Simple Reflection,2
785,Critical Reflection,2
786,Simple Reflection,2
787,Simple Reflection,2
788,Simple Reflection,3
789,Simple Reflection,2
790,Simple Reflection,2
791,Critical Reflection,3
792,Simple Reflection,1
793,Simple Reflection,3
794,Simple Reflection,2
795,Simple Reflection,3
796,No-Reflection,1
797,Simple Reflection,3
798,Simple Reflection,1
799,Critical Reflection,3
800,Simple Reflection,2
801,Critical Reflection,3
802,Simple Reflection,1
803,Simple Reflection,1
804,Simple Reflection,2
805,Simple Reflection,3
806,Simple Reflection,4
807,Simple Reflection,1
808,Simple Reflection,3
809,Simple Reflection,1
810,Simple Reflection,3
811,Simple Reflection,2
812,Simple Reflection,3
813,Simple Reflection,3
814,Critical Reflection,3
815,Simple Reflection,2
816,Simple Reflection,2
817,Simple Reflection,3
818,Simple Reflection,3
819,Simple Reflection,2
820,Simple Reflection,4
821,Simple Reflection,2
822,Simple Reflection,3
823,Simple Reflection,4
824,Critical Reflection,3
825,Simple Reflection,2
826,Simple Reflection,2
827,Simple Reflection,2
828,Simple Reflection,3
829,Understanding,2
830,Simple Reflection,3
831,Critical Reflection,3
832,Simple Reflection,1
833,Simple Reflection,1
834,Simple Reflection,2
835,Simple Reflection,3
836,Simple Reflection,3
837,Simple Reflection,2
838,Simple Reflection,3
839,Simple Reflection,1
840,Critical Reflection,3
841,Simple Reflection,2
842,Understanding,1
843,Simple Reflection,3
844,Simple Reflection,3
845,Simple Reflection,1
846,Simple Reflection,2
847,Critical Reflection,3
848,Simple Reflection,3
849,Simple Reflection,2
850,Simple Reflection,3
851,Simple Reflection,3
852,Simple Reflection,3
853,Simple Reflection,2
854,Critical Reflection,4
855,Simple Reflection,1
856,Simple Reflection,3
857,Simple Reflection,1
858,Simple Reflection,3
859,Critical Reflection,3
860,Simple Reflection,4
861,Critical Reflection,3
862,Simple Reflection,2
863,Simple Reflection,1
864,Critical Reflection,2
865,Critical Reflection,3
866,Simple Reflection,3
867,Simple Reflection,3
868,Simple Reflection,3
869,Simple Reflection,2
870,Simple Reflection,2
871,Simple Reflection,3
872,Simple Reflection,3
873,Simple Reflection,3
874,Simple Reflection,3
875,Simple Reflection,3
876,Understanding,1
877,Critical Reflection,3
878,Simple Reflection,2
879,Simple Reflection,2
880,Critical Reflection,3
881,Simple Reflection,3
882,Simple Reflection,3
883,Simple Reflection,3
884,Simple Reflection,1
885,Simple Reflection,3
886,Simple Reflection,4
887,Simple Reflection,2
888,Simple Reflection,1
889,Critical Reflection,4
890,Simple Reflection,3
891,No-Reflection,1
892,Simple Reflection,1
893,Critical Reflection,2
894,Critical Reflection,3
895,Simple Reflection,2
896,Simple Reflection,1
897,Critical Reflection,3
898,Simple Reflection,3
899,Simple Reflection,2
900,Simple Reflection,2
901,Critical Reflection,3
902,Simple Reflection,2
903,Simple Reflection,3
904,Simple Reflection,3
905,Simple Reflection,2
906,Simple Reflection,2
907,Simple Reflection,2
908,Simple Reflection,1
909,Simple Reflection,1
910,Simple Reflection,1
911,Understanding,2
912,Simple Reflection,4
913,Simple Reflection,1
914,Simple Reflection,1
915,Critical Reflection,4
916,Critical Reflection,3
917,Simple Reflection,3
918,Simple Reflection,1
919,Simple Reflection,3
920,Simple Reflection,2
921,Simple Reflection,4
922,Critical Reflection,4
923,Simple Reflection,2
924,Simple Reflection,2
925,Critical Reflection,3
926,Critical Reflection,3
927,Simple Reflection,1
928,Simple Reflection,2
929,Simple Reflection,2
930,Simple Reflection,3
931,Understanding,2
932,Simple Reflection,3
933,Simple Reflection,3
934,Simple Reflection,3
935,Simple Reflection,1
936,Simple Reflection,2
937,Simple Reflection,2
938,Simple Reflection,1
939,Simple Reflection,2
940,Simple Reflection,2
941,Simple Reflection,2
942,Simple Reflection,3
943,Simple Reflection,3
944,Simple Reflection,2
945,Simple Reflection,2
946,Simple Reflection,2
947,Simple Reflection,1
948,Simple Reflection,3
949,Simple Reflection,3
950,Simple Reflection,2
951,Simple Reflection,2
952,Simple Reflection,3
953,Simple Reflection,3
954,Simple Reflection,3
955,Simple Reflection,2
956,Simple Reflection,2
957,Simple Reflection,1
958,Simple Reflection,1
959,Simple Reflection,3
960,Understanding,2
961,Critical Reflection,3
962,Critical Reflection,3
963,Critical Reflection,4
964,Critical Reflection,3
965,Simple Reflection,3
966,Simple Reflection,3
967,Simple Reflection,2
968,Simple Reflection,3
969,Simple Reflection,3
970,Simple Reflection,3
971,Simple Reflection,3
972,Critical Reflection,3
973,Critical Reflection,4
974,Simple Reflection,2
975,Simple Reflection,3
976,Critical Reflection,3
977,Simple Reflection,1
978,Simple Reflection,3
979,Simple Reflection,2
980,Simple Reflection,2
981,Simple Reflection,4
982,Simple Reflection,1
983,Simple Reflection,2
984,Simple Reflection,1
985,Simple Reflection,3
986,Simple Reflection,3
987,Critical Reflection,4
988,Simple Reflection,3
989,Critical Reflection,3
990,Simple Reflection,2
991,Simple Reflection,1
992,Simple Reflection,1
993,Simple Reflection,1
994,Simple Reflection,2
995,Simple Reflection,2
996,Simple Reflection,3
997,Simple Reflection,1
998,Critical Reflection,3
999,Simple Reflection,2
1000,Simple Reflection,2
1001,Simple Reflection,1
1002,Simple Reflection,3
1003,Simple Reflection,3
1004,Critical Reflection,3
1005,Simple Reflection,3
1006,Simple Reflection,1
1007,Critical Reflection,3
1008,Simple Reflection,2
1009,Simple Reflection,3
1010,Critical Reflection,3
1011,Critical Reflection,3
